id,popularity,budget,revenue,original_title,director,runtime,genres,vote_count,vote_average,release_year
14924,0.506902,4000000,2826523,sid & nancy,alex cox,112,drama|music|romance,47,6.6,1986
15392,0.502047,1800000,5738952,crossroads,walter hill,99,drama|music|mystery|romance,32,6.7,1986
40342,0.484711,1500000,610986,dã¨moni 2,lamberto bava,91,horror|fantasy,25,5.4,1986
5143,0.476819,6400000,40084041,hannah and her sisters,woody allen,107,comedy|drama,102,7.3,1986
12278,0.464307,4500000,35000000,soul man,steve miner,104,comedy,15,5.4,1986
31947,0.461807,10000000,4711220,king kong lives,john guillermin|charles mccracken,105,action|horror,13,3.5,1986
6106,0.459005,4500000,1500000,salvador,oliver stone,123,drama,22,6.3,1986
1857,0.438751,6000000,5706456,the transformers: the movie,nelson shin,84,animation,70,7.2,1986
10945,0.438164,18000000,29844101,jumpin' jack flash,penny marshall,100,romance|comedy|thriller,39,5.3,1986
9941,0.437451,14000000,62134225,down and out in beverly hills,paul mazursky,103,comedy,19,5.1,1986
11028,0.433281,1800000,610986,the big easy,jim mcbride,102,drama|action|crime|mystery,18,6.1,1986
9980,0.425424,10000000,7433663,maximum overdrive,stephen king,97,action|drama|horror|science fiction,68,5.4,1986
11257,0.400218,3000000,20966644,a room with a view,james ivory,117,drama|romance,80,6.6,1986
12715,0.399032,1800000,11949484,firewalker,j. lee thompson,104,action|adventure|comedy,25,4.9,1986
10013,0.389778,18000000,41382841,peggy sue got married,francis ford coppola,103,comedy|drama|fantasy|romance,57,5.7,1986
11300,0.385622,1800000,8362969,something wild,jonathan demme,113,action|comedy|drama|romance,28,6.6,1986
24913,0.385105,5000000,610986,april fool's day,fred walton,89,horror|mystery|thriller,29,6.1,1986
12662,0.384232,8400000,14481606,psycho iii,anthony perkins,93,horror|thriller,26,4.7,1986
10002,0.375434,1800000,5794184,mona lisa,neil jordan,104,drama|crime|romance,24,6.4,1986
1554,0.65576,1800000,610986,down by law,jim jarmusch,107,crime|drama|comedy,60,7.3,1986
36349,0.369463,1800000,6637565,black moon rising,harley cokeliss,100,science fiction|action|thriller,10,5.6,1986
10692,0.356864,111000,610986,henry: portrait of a serial killer,john mcnaughton,83,horror|thriller|crime|drama,40,6.1,1986
383,0.350539,22500,610986,mala noche,gus van sant,78,drama,11,5.6,1986
10017,0.3478,2700000,3500000,the wraith,mike marvin,93,romance|science fiction|horror|action|crime,48,5.9,1986
25438,0.345381,1800000,6797218,trick or treat,charles martin smith,98,horror|music,16,5.0,1986
16337,0.327717,4700000,8025872,the texas chainsaw massacre 2,tobe hooper,101,horror,43,5.7,1986
15596,0.325629,11000000,91258000,back to school,alan metter,96,comedy,45,6.6,1986
13818,0.324099,15000000,52600000,heartburn,mike nichols,108,comedy|drama|romance,23,6.2,1986
13698,0.323711,13000000,36611610,gung ho,ron howard,111,comedy|drama,22,6.2,1986
11038,0.317816,10000000,21458229,tough guys,jeff kanew,104,comedy|crime,11,4.9,1986
33278,0.311858,1800000,8988731,deadly friend,wes craven,91,mystery|drama|horror|science fiction,28,6.5,1986
37032,0.311655,10000000,610986,nan bei shao lin,liu chia-liang,90,action|comedy,10,6.7,1986
18169,0.311025,8500000,38702310,about last night...,edward zwick,113,comedy|drama|romance,21,5.0,1986
9873,0.309218,10000000,20603715,f/x,robert mandel,109,crime|thriller|action,34,6.1,1986
13925,0.306425,1800000,610986,luxo jr.,john lasseter,2,animation|family,81,7.3,1986
11415,0.302986,3000000,19444631,house,steve miner,93,comedy|horror,51,5.5,1986
31909,0.207606,12000000,4884663,invaders from mars,tobe hooper,100,science fiction,20,5.1,1986
11938,0.289554,1800000,1476356,clockwise,christopher morahan,96,comedy,19,5.7,1986
26554,0.287424,2000000,610986,class of nuke 'em high,richard w. haines|lloyd kaufman,85,horror|comedy|science fiction,15,5.8,1986
15698,0.284705,1800000,610986,running scared,peter hyams,107,thriller|action|comedy|crime,26,6.6,1986
30194,0.277984,18000000,3900000,the manhattan project,marshall brickman,118,science fiction|thriller,11,6.0,1986
13841,0.268676,1800000,2015882,rad,hal needham,91,drama|family,15,7.4,1986
13715,0.258898,6500000,2347000,at close range,james foley,111,crime|drama,21,6.0,1986
18282,0.258334,13431806,610986,one crazy summer,savage steve holland,89,drama|comedy|romance|family,21,6.7,1986
17994,0.256518,2000000,7369373,witchboard,kevin tenney,98,horror,22,5.6,1986
14670,0.314511,1800000,610986,round midnight,bertrand tavernier,133,drama,11,6.5,1986
11037,0.253984,18000000,24159872,iron eagle,sidney j. furie,117,action|thriller|war,40,4.4,1986
9930,0.459144,40000000,93151591,legal eagles,ivan reitman,116,comedy|crime|drama|romance|thriller,22,5.3,1986
16113,0.231591,1800000,17768900,the delta force,menahem golan,125,action|thriller,43,5.0,1986
26789,0.247524,14000000,12303904,no mercy,richard pearce,106,action|crime|thriller,13,5.3,1986
33061,0.245607,1100000,5450815,troll,john carl buechler,82,fantasy|horror,22,4.6,1986
20537,0.22737,1800000,610986,caravaggio,derek jarman,93,drama|history,13,4.7,1986
24086,0.233302,1800000,7177431,the boy who could fly,nick castle,114,drama|family|fantasy|science fiction,18,5.6,1986
13853,0.217599,15000000,1953732,the clan of the cave bear,michael chapman,98,adventure|drama,10,4.7,1986
15762,0.21335,5000000,591366,night of the creeps,fred dekker,88,comedy|horror|science fiction,26,6.8,1986
28941,0.208365,800000,610986,chopping mall,jim wynorski,77,horror|science fiction,20,5.1,1986
2620,0.203663,12000000,15945534,armed and dangerous,mark l. lester,88,action|comedy|crime,20,5.1,1986
24103,0.201891,13000000,8033397,haunted honeymoon,gene wilder,82,comedy|horror|music,18,5.3,1986
1890,0.200781,1800000,31853080,children of a lesser god,randa haines,119,drama|romance,25,6.7,1986
60800,0.19577,1800000,610986,macskafogã³,bã©la ternovszky,96,animation|family,12,8.0,1986
13346,0.215644,6000000,8200000,lucas,david seltzer,108,comedy|drama|romance,24,5.7,1986
29355,0.181563,1800000,610986,wildcats,michael ritchie,106,comedy|drama,21,6.3,1986
26555,0.167621,15000000,12308521,club paradise,harold ramis,96,comedy|drama|romance,10,4.1,1986
17465,0.155043,1800000,610986,youngblood,peter markle,110,drama|romance,24,5.5,1986
27995,0.139942,175000,7137503,she's gotta have it,spike lee,84,comedy|romance,11,5.2,1986
19492,0.13993,30000000,610986,captain eo,francis ford coppola,17,science fiction,10,6.2,1986
10857,0.090923,1800000,5274,when the wind blows,jimmy t. murakami,80,animation|comedy|drama|war,18,7.3,1986
70966,0.063527,1800000,610986,kuryer,karen shakhnazarov,88,drama|romance|comedy,11,7.4,1986
13766,0.094098,18000000,9697739,spacecamp,harry winer,107,family|adventure,23,6.2,1986
47340,0.058402,1800000,610986,dead end drive-in,brian trenchard-smith,87,action|drama|horror|science fiction|thriller,10,5.6,1986
42017,0.087852,1800000,610986,absolute beginners,julien temple,108,fantasy|drama|music|romance,10,5.0,1986
33516,0.0805169999999999,1800000,610986,gothic,ken russell,84,drama|fantasy|horror,10,4.2,1986
34223,0.076196,1900000,4790926,vamp,richard wenk,93,comedy|horror,12,5.2,1986
11454,0.068835,15000000,8620929,manhunter,michael mann,119,crime|horror|thriller,163,6.6,1986
24194,0.0665289999999999,1800000,320256,terrorvision,ted nicolaou,83,horror|science fiction|thriller,14,5.1,1986
21867,0.216201,8500000,610986,lady jane,trevor nunn,142,drama|romance|history,13,6.4,1986
38343,0.001567,1721522,6025330,yuppies 2,enrico oldoini,104,comedy,11,5.0,1986
11886,2.272486,15000000,32056467,robin hood,wolfgang reitherman,83,animation|family,641,6.9,1973
9552,2.010733,8000000,441306145,the exorcist,william friedkin,122,drama|horror|thriller,1113,7.2,1973
253,1.549139,7000000,161777836,live and let die,guy hamilton,121,adventure|action|thriller,293,6.1,1973
203,1.087374,500000,3000000,mean streets,martin scorsese,110,drama|crime,141,7.1,1973
9461,0.993066,850000,90000000,enter the dragon,robert clouse,99,crime|thriller|action,279,7.0,1973
2362,0.971417,1800000,610986,westworld,michael crichton,88,action|adventure|drama|horror|science fiction,132,6.4,1973
1705,0.876503,1700000,8844595,battle for the planet of the apes,j. lee thompson,93,action|science fiction,99,5.3,1973
931,0.874266,1500000,610986,don't look now,nicolas roeg,110,thriller|drama|horror,60,6.7,1973
9277,0.863155999999999,5500000,159616327,the sting,george roy hill,129,comedy|crime|drama,304,7.7,1973
10648,0.82316,1800000,39768000,magnum force,ted post,124,action|crime|thriller,96,6.9,1973
11901,0.79974,5500000,15700000,high plains drifter,clint eastwood,105,western,126,7.1,1973
4909,0.718864,1800000,16056255,the day of the jackal,fred zinnemann,143,action|thriller,64,6.7,1973
40374,0.700695,1800000,610986,breezy,clint eastwood,108,drama|romance,15,7.1,1973
838,0.684079,777000,115000000,american graffiti,george lucas,110,comedy|drama,145,6.5,1973
12101,0.621476,1800000,3,soylent green,richard fleischer,97,mystery|science fiction|thriller,124,6.6,1973
5924,0.600434,12000000,53267000,papillon,franklin j. schaffner,151,crime|drama,191,7.4,1973
11561,0.5684,2000000,18344729,sleeper,woody allen,89,science fiction|comedy|romance,93,6.9,1973
12545,0.549206,1800000,13200000,jesus christ superstar,norman jewison,108,drama|history|music,63,6.9,1973
